> 地图字符串的词元词典。摄像头名基本是有限词汇的自由组合（"Bridge East"、
> "Main Hall West"），逐条人工翻 2000 多条不现实也不一致，所以按词元翻译后组合。
> 格式：<英文词元小写>\t<中文>。空译文表示该词元在组合时丢弃（of/the/and 之类）。
> 未收录的词元原样保留（人名、缩写、拼写错误等）。
> 由 compose_map_strings.py 使用。
hall	厅
room	室
rooms	室
west	西
south	南
east	东
north	北
northwest	西北
northeast	东北
southwest	西南
southeast	东南
nw	西北
ne	东北
sw	西南
se	东南
western	西
eastern	东
upper	上层
lower	下层
inner	内
outer	外
interior	内部
exterior	外围
internal	内部
external	外部
central	中央
centre	中心
center	中心
middle	中部
main	主
primary	主
secondary	次
side	侧
back	后
rear	后
front	前
fore	前
forward	前
aft	艉
bow	艏
stern	艉
port	左舷
starboard	右舷
broadside	舷侧
left	左
right	右
top	顶层
bottom	底层
ground	地面
outside	外部
inside	内部
outdoor	户外
end	末端
corner	角
long	长
large	大
mini	小
high	高
higher	上层
first	一
one	一
two	二
ii	二
tri	三
old	旧
new	新
spare	备用
backup	备用
aux	辅助
utility	辅助
public	公共
private	私人
secure	保密
restricted	禁入
unrestricted	开放
common	公共
general	综合
hallway	走廊
corridor	走廊
walkway	通道
tunnel	通道
junction	交汇处
intersection	路口
crossover	交叉通道
crossroad	交叉路口
loop	环道
line	通道
parkway	主道
greenway	绿道
plaza	广场
atrium	中庭
rotunda	圆厅
courtyard	庭院
foyer	门厅
foyeur	门厅
lobby	大厅
entrance	入口
entry	入口
entryway	入口
enterance	入口
exit	出口
access	通路
airlock	气闸门
airlocks	气闸门
door	门
dock	船坞
docks	船坞
docking	对接
drydock	干船坞
anchorage	泊位
bay	舱
arm	臂
connector	连接段
connection	连接段
platform	平台
catwalk	栈道
balcony	露台
deck	甲板
helm	舵位
nacelle	舱体
thrusters	推进器
ai	AI
core	核心
upload	上传室
satellite	卫星
satelite	卫星
sat	卫星
cyborg	赛博格
drone	无人机
robo	机器人
robotics	机器人学
roboticist	机器人专家
mech	机甲
ripley	雷普利
security	安保
security's	安保
sec	安保
secs	安保
brig	禁闭室
brigmed	狱医室
brigmedical	狱医室
brigmedic	狱医
armory	军械库
armoury	军械库
warden	典狱长
warden's	典狱长
wardnerds	典狱长
perma	永久监区
permabrig	永久监区
genpop	普通监区
prison	监区
prisoner	囚犯
lockup	拘留室
cell	牢房
cells	牢房
holding	拘留
solitary	单人禁闭
isolation	隔离
isolated	隔离
detox	戒断
booking	登记
lineup	列队指认
interrogation	审讯室
interogation	审讯室
interrorgation	审讯室
interview	审讯室
interviews	审讯室
visitation	探视
visitations	探视
visitors	访客
evidence	证物
contraband	违禁品
defusal	拆弹
firing	射击
range	靶场
detective	侦探
detective's	侦探
detectives	侦探
detatched	独立
detached	独立
officer's	干员
officer	干员
enforcement	执法
panopticon	圆形监狱
medical	医疗
med	医疗
medbay	医疗部
clinic	诊所
surgery	手术室
surgical	手术
operating	手术
triage	分诊
exam	诊查
examination	诊查
inpatient	住院
treatment	治疗
recovery	恢复室
ward	病房
morgue	停尸房
mortuary	停尸房
crematorium	火葬场
funeral	殡仪
graveyard	墓地
dissection	解剖
anatomy	解剖
cryo	冷冻
cryosleep	冷冻休眠
cryogenics	低温科
cryonics	低温科
cyrogenics	低温科
cryopods	冷冻舱
pod	舱
pods	舱
stasis	静滞
cloning	克隆
genetics	基因学
virology	病毒学
viro	病毒学
quarantine	隔离区
chemistry	化学
chem	化学
chemical	化学
chemist	化学师
paramedic	急救员
paramedic's	急救员
paramedics	急救员
ems	急救
psych	心理科
psychologist	心理师
psychologist's	心理师
psychologists	心理师
science	科研
sci	科研
research	研究
reseach	研究
rnd	研发
development	研发
lab	实验室
labs	实验室
testing	测试
test	测试
artifact	神器
artifacts	神器
arti	神器
anomaly	异常
anom	异常
anomalous	异常
anomally	异常
xenobiology	异种生物学
xenobio	异种生物学
xeno	异种
xenoarcheology	异种考古学
xenoarchaeology	异种考古学
xenoarch	异种考古学
toxins	毒理学
plasma	等离子
plasmafire	等离子燃烧
supermatter	超物质
sm	超物质
singularity	奇点
singulo	奇点
tesla	特斯拉
engineering	工程
engie	工程
engi	工程
engineer	工程师
engineer's	工程师
atmospherics	大气
atmospherics'	大气
atmos	大气
atmo	大气
gasworks	气体处理
gas	气体
scrubbers	洗涤器
distro	配气管网
piping	管路
vent	通风
air	空气
condenser	冷凝器
cooling	冷却
cool	冷却
cold	冷藏
hot	高温
pressure	压力
canister	气罐
canisters	气罐
cans	气罐
tank	储罐
tanks	储罐
containers	容器
engine	引擎
engines	引擎
reactor	反应堆
nuclear	核
nuke	核弹
teg	TEG
turbine	涡轮
generator	发电机
gen	发电机
power	电力
powerline	电力线
substation	变电站
substaion	变电站
smes	SMES
battery	蓄电池
solar	太阳能
solars	太阳能板
array	阵列
grav	重力
gravity	重力
magnet	磁体
radiation	辐射
radiator	散热器
particle	粒子
accelerator	加速器
pa	粒子加速器
ame	AME
electrical	电气
circuitry	电路
charging	充电
rechargers	充电器
recharging	充电
cargo	货运
cargobay	货运舱
salvage	打捞
salv	打捞
salvaging	打捞
mining	采矿
mine	矿场
miners	矿工
materials	材料
material	材料
mats	材料
storage	储藏
storeroom	储藏室
store	商店
stores	商店
surplus	剩余物资
supply	补给
resource	物资
loading	装卸
unloading	卸货
delivery	投递
conveyor	传送带
chute	滑槽
disposals	垃圾处理
trash	垃圾
heap	堆场
recycling	回收
qm	军需官
qm's	军需官
quartermaster	军需官
quartermaster's	军需官
shipyard	船坞
production	生产
fabrication	制造
lathe	车床
workshop	工坊
toolroom	工具间
toolshed	工具棚
tool	工具
tools	工具
equipment	装备
gear	装备
rack	架
hardsuit	硬质宇航服
hardsuits	硬质宇航服
suit	宇航服
suits	宇航服
eva	EVA
command	指挥部
bridge	舰桥
bridgehead	舰桥前区
captain	舰长
captain's	舰长
captains	舰长
vault	金库
hop	人事主管
hop's	人事主管
personnel	人事
personnel's	人事
hos	安保主管
hos's	安保主管
cmo	医疗主管
cmo's	医疗主管
md	医疗主管
ce	工程主管
ce's	工程主管
chief	主管
rd	研究主管
rd's	研究主管
director's	主管
head	主管
blueshield	蓝盾
bso	BSO
bso's	BSO
ntr	NTR
ntr's	NTR
ntrep's	NT代表
rep	代表
nt	NT
nanotrasen	纳米传讯
cc	中央指挥部
corporate	企业
representatives	代表
admin	管理
affairs	事务
iaa	内务调查员
magistrate's	治安官
judge's	法官
court	法庭
courthouse	法院
courtroom	法庭
law	律政
lawyer	律师
lawyer's	律师
lawyers	律师
lawer	律师
legal	法务
office	办公室
offices	办公区
desk	台席
desks	台席
counter	柜台
reception	接待处
waiting	等候
boardroom	会议室
conference	会议
meeting	会议
briefing	简报
debrief	归询
dispatch	调度
control	控制
console	控制台
consoles	控制台
terminal	终端
monitoring	监控
surveillance	监控
observation	观测
observatory	观星台
observitory	观星台
viewing	观景
viewscreen	观察屏
display	展示
showcase	展台
exhibit	展品
gallery	展廊
museum	博物馆
showroom	展厅
service	服务
